"Index","^GSPC","^FTSE","^GDAXI","^N100","^BVSP"
"2000-01-02 19:00:00",0,NA,0,0,0
"2000-01-03 19:00:00",-0.0390992268757215,0,-0.0245646122288264,-0.0417935194662224,-0.0658546063292884
"2000-01-04 19:00:00",0.00192037981152784,-0.0196949210082043,-0.012969892301335,-0.0272624148384827,0.0245525793053081
"2000-01-05 19:00:00",0.000955246084129742,-0.0136640832135621,-0.00418432012979147,-0.00842010242640728,-0.00853120901252148
"2000-01-06 19:00:00",0.0267299352626786,0.00889437611558206,0.0461824479966133,0.0229550248801862,0.0124631425662387
"2000-01-09 19:00:00",0.011127821298329,0.0156953307751022,0.0210944546576511,0.0171633854527057,0.0427895223799885
"2000-01-10 19:00:00",-0.0131485647552751,-0.0135300312313707,-0.00496064858522167,-0.00643586232151856,-0.0267317599133624
"2000-01-11 19:00:00",-0.00439604846173147,0.00212997625973371,0.00312373567997664,-0.00760699973643863,0.00265140257766953
"2000-01-12 19:00:00",0.0120962770959534,-0.000198985023948794,0.00622549467052896,0.00525637846814097,0.0401646201652435
"2000-01-13 19:00:00",0.0106147149036216,0.019212581846103,0.0307529538533778,0.0228916148609714,0.0205980505950706
"2000-01-16 19:00:00",NA,0.00169568680837775,0.0118736133037775,0.00624419836004402,0.0221229374751304
"2000-01-17 19:00:00",-0.00685551038023836,-0.0250352603120623,-0.0260679807722122,-0.0283271637789735,-0.00834357938538506
"2000-01-18 19:00:00",0.00052215017125654,-0.00912742138587686,0.00267170760206536,-0.00139716912189064,-0.0244831724231708
"2000-01-19 19:00:00",-0.00712062782213352,-0.0151321138622616,0.00304430766535816,0.0043531461170506,-0.0169138444910768
"2000-01-20 19:00:00",-0.0029165259497021,-0.000378164636251558,-0.0170024248776969,-0.00409037131879487,-0.00835993293599919
"2000-01-23 19:00:00",-0.0280226152948814,0.00526478315150351,-0.00872693992798187,0.00534558847923995,-0.00364641937881067
"2000-01-24 19:00:00",0.00604648372905179,-0.0167066531789797,-0.0178076881059091,-0.0133967454605365,-Inf
"2000-01-25 19:00:00",-0.00422157464623766,0.0160481555725259,0.0231855776482439,0.0024549237758745,Inf
"2000-01-26 19:00:00",-0.00394619876108569,0.0102055876171948,0.0222434483767013,0.00205875438936963,-0.00140408377364432
"2000-01-27 19:00:00",-0.0278408674652429,-0.0102055876171947,-0.00838882288381645,6.32791242380663e-05,-0.0205241567825168
"2000-01-30 19:00:00",0.024904903670927,-0.0169411283736163,-0.0332352087342593,-0.0195419595296894,-0.0208932181887822
"2000-01-31 19:00:00",0.0105716921142298,0.00356703726758452,0.0309485985026444,0.0159074744461521,0.00814346645568887
"2000-02-01 19:00:00",-0.000113539597056502,0.00188981853229704,0.0170847491263973,0.0249205424679445,0.0207255097439999
"2000-02-02 19:00:00",0.0111853647924129,0.00340537755435629,0.0251020979189286,0.0260159877141984,0.0343223784583291
"2000-02-03 19:00:00",-0.000421150167314908,-0.0222723190837294,0.0122105572130204,0.0162532199976465,0.0268461119505504
"2000-02-06 19:00:00",-9.12725856401156e-05,-0.0107936773156845,-0.0201201831326332,-0.00797885822504891,0.0107605453393968
"2000-02-07 19:00:00",0.0121985071366468,0.0269597607870947,0.034161571801375,0.0196089556628932,0.030427208738174
"2000-02-08 19:00:00",-0.021035109710188,0.00469798989730055,0.0104395247124306,-0.00612288863507668,-0.017545730430714
"2000-02-09 19:00:00",0.00362024619907782,-0.00565297822209186,0.0104523202996504,-0.0102590368773166,0.0131477614218007
"2000-02-10 19:00:00",-0.0211923264857265,-0.0138700707122573,-0.0127566966345624,0.00844638922656049,-0.028404340959008
"2000-02-13 19:00:00",0.00203085354348442,-0.0203400778353323,0.00435884776061768,-0.00782011864726882,-0.0147069666575649
"2000-02-14 19:00:00",0.00867494251680028,-0.0105021585829987,-0.0330687750692743,-0.0123992909163912,0.0057079058159739
"2000-02-15 19:00:00",-0.0103093696588612,0.0234034180732718,0.0126546166283745,0.00255240607247313,0.0106014924595207
"2000-02-16 19:00:00",0.000425082771456057,0.0100189240312779,0.0119715981240001,0.0129030188347048,-0.00737029187661459
"2000-02-17 19:00:00",-0.0308470706554273,-0.00715999934872368,-0.000890835758877929,-0.0168045994976569,-0.0198860614458256
"2000-02-20 19:00:00",NA,-0.0136203009204193,0.00220913543100641,-0.0140422960608455,0.004246290881451
"2000-02-21 19:00:00",0.00450661558944363,-0.0110613295729159,0.00229103428948941,-0.00201492338333438,-0.0119925277127293
"2000-02-22 19:00:00",0.00628114117584486,0.0212857819073885,0.0118941540233747,0.00679559780619688,0.0194785616033219
"2000-02-23 19:00:00",-0.00534966568461466,-0.00938619223685727,-0.00761963333199595,0.00540544597663527,-0.00320144057310197
"2000-02-24 19:00:00",-0.014940112600623,0.0181205635720528,0.0127642099422525,0.0160631115664392,0.000618620496066102
"2000-02-27 19:00:00",0.0109570315385716,-0.016003447712319,-0.0197777786649054,-0.0123076936030648,-0.0138128434462926
"2000-02-28 19:00:00",0.0135350771570355,0.0215703856040804,0.00753957188362934,0.014892136702796,0.00664718522876626
"2000-02-29 19:00:00",0.00930211686724029,0.0210049079983795,0.0108481152934777,0.00824530865317612,0.0164550367128778
"2000-03-01 19:00:00",0.00186175108961983,0.0105025893108139,0.0277986468138278,0.0175092065655587,0.00350302006858818
"2000-03-02 19:00:00",0.0196428296796625,0.00857615392549585,0.00179303197571932,0.00847789278229806,0.0336202806247601
"2000-03-05 19:00:00",-0.0127766918664633,0.0123016420729766,0.00197668088708685,0.0051383493353875,-Inf
